income,1,2,3,4,5
1220,20,16,12,8,4
1285,28,22,17,11,6
1350,36,29,22,14,7
1500,44,35,26,18,9
1666,52,42,31,21,10
1800,60,48,36,24,12
1950,68,54,41,27,14
2100,76,61,46,30,15
2300,84,67,50,34,17
2500,92,74,55,37,18
2700,101,81,61,40,20
2900,110,88,66,44,22
3100,119,95,71,48,24
3320,128,102,77,51,26
3540,137,110,82,55,27
3760,146,117,88,58,29
4020,156,125,94,62,31
4280,166,133,100,66,33
4539,176,141,106,70,35
4799,186,149,112,74,37
5059,196,157,118,78,39
5060,206,165,124,82,41
